,Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Dipole moment (D),Frank-Condon factor,lambda00,recoil,N_photon,Reference,Date of reference,p1,g1,p2,g2,g1iso,g2iso,g_average,g1_lan_act,g2_lan_act,g1_lan_act_iso,g2_lan_act_iso,atom1,atom2,geometry,type1,type2,type,geometry_theta,e1,e2,n1,n2,sum_p,sum_g,diff_p,diff_g,product_p,product_g,Reduced_g,Reduced_p,g_average_lan_act,g_average_lan_act_iso,Re (\AA)^-1,Re (au),Re (au)^-1,Re (au)^2,Re (au)^-2,4*(np.pi**2)*Re (au),4*(np.pi**2)*Re (au)^-1,omega_e (au)^-2,4*(np.pi**2)*omega_e (au)^-2,omega_e (au),omega_e (au)^2,4*(np.pi**2)*omega_e (au)^2,K,sqrt(K),4*(np.pi**2)*omega_e (au),4*(np.pi**2)*Re (au)*omega_e (au)^2,ve1,ve2,log(D_e)/(R_e^3*Z_1*Z_2),ln(Re (\AA)),rcat,mu^(1/2)
11,Ne2,20.0,20.0,10.0,X $^1 \Sigma_{u}^{+}$,0,28.5,,0.17,0.06,,3.091,0.039551,4.9,0.0,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",3/1/1977 0:00,2.0,18.0,2.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Ne,Ne,"Ne
Ne 1 NeNe2
NeNe2= 3.15",Noble Gas,Noble Gas,Noble Gas-Noble Gas,Ne\nNe 1 NeNe2\nNeNe2= {0},10.0,10.0,10.0,10.0,4.0,36.0,0.0,0,4.0,324,9.0,1.0,18.0,18.0,0.3235198964736331,5.84114303069738,0.17119936881268408,34.11895190506458,0.029309223881861423,230.59908385265317,0.0043365306717305695,58182799.884332605,1473787.537976463,0.0001311,1.7187209999999998e-08,6.78523853833788e-07,6.7852385383378794e-06,0.002604849043291737,0.005175620547931259,3.963354879983158e-06,0.0,0.0,-16.426951359333334,1.1284946631499793,2.906272,3.1622776601683795
12,Mg2,24.0,24.0,12.0,X $^1 \Sigma_{g}^{+}$,0,51.121,1.645,0.09287,0.0037761,12.17,3.8905,0.0501,,0.0,9.27e-06,383.6014081,8.636332338,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",3/1/1977 0:00,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,Mg,Mg,"Mg
Mg 1 MgMg2
MgMg2= 3.8905",Alkaline Earth Metal,Alkaline Earth Metal,Alkaline Earth Metal-Alkaline Earth Metal,Mg\nMg 1 MgMg2\nMgMg2= {0},12.0,12.0,12.0,12.0,6.0,4.0,0.0,0,9.0,4,1.0,1.5,2.0,2.0,0.25703637064644647,7.35197895856621,0.13601779951163256,54.0515946072003,0.01850084178398667,290.2444955447257,0.0034453711107362015,18083631.78014828,458063.7441292047,0.0002351566,5.5298626523559996e-08,2.1831022708444977e-06,2.6197227250133974e-05,0.005118322698905763,0.009283610457220839,1.605012195964686e-05,2.0,2.0,-17.245293505949107,1.3585376840748478,3.74,3.4641016151377544
13,MgCa,24.0,40.0,15.0,X $^1 \Sigma^{+}$,0,60.257,1.6525,0.0689,0.001934,,4.039,0.081946266,,0.5083,1.14e-19,869.800255,1.597611752,0.0,"[1] H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. 
[2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1]1985 [2]2021,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,Mg,Ca,"Mg
Ca 1 MgCa2
MgCa2= 4.039",Alkaline Earth Metal,Alkaline Earth Metal,Alkaline Earth Metal-Alkaline Earth Metal,Mg\nCa 1 MgCa2\nMgCa2= {0},12.0,20.0,12.0,20.0,7.0,4.0,1.0,0,12.0,4,1.0,1.7142857142857142,2.0,2.0,0.2475860361475613,7.632603267870176,0.13101689749938267,58.25663264470249,0.01716542743036374,301.323099217362,0.0033186967829460737,13015753.800367514,329692.89526262326,0.0002771822,7.682997199684001e-08,3.033125719022337e-06,4.5496885785335054e-05,0.006745137936716717,0.010942714644094523,2.3150645274870968e-05,2.0,2.0,-17.376454755541968,1.3959971365812758,3.74,3.872983346207417
14,LiMg,6.941,24.305,5.399123248,X 1 $^2 \Sigma^{+}$,0,187.3,6.16,0.32,,,3.1,0.165323985,4.77029,1.18,1.56e-05,1626.821885,2.393635331,0.0,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.Â The Journal of Physical Chemistry A, 125(17), pp.3653-3663.
[2] Pototschnig, J., Hauser, A. and Ernst, W., 2016. Electric dipole moments and chemical bonding of diatomic alkaliâ€“alkaline earth molecules. Physical Chemistry Chemical Physics, 18(8), pp.5964-5973.",[1] 2021 [2] 2016,2.0,1.0,3.0,2.0,1.0,2.0,1.5,1.0,2.0,1,2,Li,Mg,"Li
Mg 1 LiMg2
LiMg2= 3.1",Alkali Metal,Alkaline Earth Metal,Alkali Metal-Alkaline Earth Metal,Li\nMg 1 LiMg2\nLiMg2= {0},3.0,12.0,3.941,12.305,5.0,3.0,1.0,0,6.0,1,0.6666666666666666,1.2,1.5,1.5,0.3225806451612903,5.85815056459459,0.17070233838709886,34.317928037459914,0.029139288330823607,231.2705143782675,0.004323940743973932,1347127.7483253651,34123.14449444083,0.00086158,7.423200964e-07,2.9305622761786067e-05,0.00015822466915027712,0.012578738774228404,0.03401381503956228,0.00017167675052775312,1.0,2.0,-13.983706341049265,1.1314021114911006,2.906272,2.323601353072424
15,LiBe,6.941,9.012,3.921036294,X $^2 \Sigma^{+}$,0,326.2,9.5,0.633,0.02,,2.59,0.326483968,,3.58,0.002327739,1999.672621,2.681399176,0.0,"[1]R. Schlachta, I. Fischer, P. Rosmus and V. E. Bondybey, Chem. Phys. Lett., 1990, 170, 485â€“491. 
[2] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiBe. The Journal of Physical Chemistry A, 125(37), pp.8274-8281.
[3] Kotochigova, S., Petrov, A., Linnik, M., KÅ‚os, J. and Julienne, P., 2011. Ab initio properties of Li-group-II molecules for ultracold matter studies. The Journal of Chemical Physics, 135(16), p.164108.",[1]1990 [2]2021 [3] 2011,2.0,1.0,2.0,2.0,1.0,2.0,1.5,1.0,2.0,1,2,Li,Be,"Li
Be 1 LiBe2
LiBe2= 2.59",Alkali Metal,Alkaline Earth Metal,Alkali Metal-Alkaline Earth Metal,Li\nBe 1 LiBe2\nLiBe2= {0},3.0,4.0,3.941,5.0120000000000005,4.0,3.0,0.0,0,4.0,1,0.6666666666666666,1.0,1.5,1.5,0.3861003861003861,4.89439031041935,0.2043155401544427,23.955056510726823,0.04174483994860168,193.2227845934557,0.005175373091242931,444136.45645930024,11250.10786679248,0.00150052,2.2515602704e-06,8.888803661623115e-05,0.0003485332176746433,0.018669044369614727,0.05923815518369041,0.00043505274512668215,1.0,2.0,-11.665387594254177,0.9516578757114463,2.5371,1.980160673783822
16,Cs2,133.0,133.0,66.5,$X \ {}^{1}\Sigma_{g}^{+}$ ,0,42.022,0.0823,0.0127,2.64e-05,,4.47,0.394,,0.0,,,,,"[1] K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, [2] H. Weickenrneier, U. Drerner, M. Wahl, M. Raab, W. Derntriider, and
W. Miiller, J. Chern. Phys. 82, 5354 (1985).  [3]",10/1/1985 0:00,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Cs,Cs,"Cs
Cs 1 CsCs2
CsCs2= 4.47",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Cs\nCs 1 CsCs2\nCsCs2= {0},55.0,55.0,78.0,78.0,12.0,2.0,0.0,0,36.0,1,0.5,3.0,1.0,1.0,0.2237136465324385,8.447075168947682,0.11838417203579564,71.35307890985251,0.01401481218860086,333.4771610551147,0.0029987061087962397,26762760.018344335,677908.6306486205,0.00019330119999999998,3.7365353921439995e-08,1.4751250460452227e-06,9.809581556200731e-05,0.009904333170991741,0.0076312254970234165,1.2460492147541408e-05,1.0,1.0,-18.644368849282824,1.4973884086254774,3.74,8.154753215150045
17,NaCs,23.0,133.0,19.60897436,X,0,98.89,0.326,0.058,0.00023,,3.851,0.42,,,,,,,,,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Na,Cs,"Na
Cs 1 NaCs2
NaCs2= 3.851",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Na\nCs 1 NaCs2\nNaCs2= {0},11.0,55.0,12.0,78.0,9.0,2.0,3.0,0,18.0,1,0.5,2.0,1.0,1.0,0.25967281225655675,7.277334782017344,0.13741294443001986,52.95960152955942,0.018882317296927728,287.29766157119616,0.0034807105443571,4832585.904781741,122410.83098144097,0.000454894,2.06928551236e-07,8.169211759959481e-06,0.00016018986394245597,0.01265661344682913,0.01795849529771657,5.945008888241825e-05,1.0,1.0,-16.523860473491126,1.3483328548327718,3.74,4.42820215889022
18,Rb2,85.0,85.0,42.5,$X \  ^1\Sigma_u$,0,57.31,0.105,,,,4.212,0.49,,0.0,,,,,"[1 ]K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, [2] 6C. Amiot, P. Crozet, and J. Verges, Chern. Phys. Lett. 121, 390 (1985). ",[1] 1977 [2] 1985,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Rb,Rb,"Rb
Rb 1 RbRb2
RbRb2= nan",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Rb\nRb 1 RbRb2\nRbRb2= {0},37.0,37.0,48.0,48.0,10.0,2.0,0.0,0,25.0,1,0.5,2.5,1.0,1.0,0.23741690408357077,7.959525863894326,0.1256356241690424,63.354051978002715,0.015784310060344867,314.22948598750406,0.0031823875371128187,14388765.001714952,364471.67528130085,0.000263626,6.9498667876e-08,2.7436974333552685e-06,0.00011660714091759891,0.010798478639030542,0.010407537319366332,2.183853068349174e-05,1.0,1.0,-17.455131379238345,1.437937594271729,3.74,6.519202405202649
19,K2,39.0,39.0,19.5,X $^1 \Sigma_{g}^{+}$,0,92.021,0.2829,0.056743,0.0001651,0.863,3.9051,0.514,4.0,0.0,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",1/1/1977 0:00,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,K,K,"K
K 1 KK2
KK2= 3.9051",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,K\nK 1 KK2\nKK2= {0},19.0,19.0,20.0,20.0,8.0,2.0,0.0,0,16.0,1,0.5,2.0,1.0,1.0,0.2560753885944022,7.379568957999462,0.1355092696729934,54.45803800586926,0.01836276216730805,291.3337050640556,0.0034324898994441094,5580979.65966826,141367.8662503499,0.0004232966,1.7918001157156003e-07,7.0737433231756436e-06,0.00013793799480192506,0.011744700711466643,0.016711079945304647,5.220117664456294e-05,1.0,1.0,-15.847393028592261,1.3622833911583874,3.74,4.415880433163924
20,NaRb,23.0,85.0,18.10185185,X $^1 \Sigma^{+}$,0,106.96,0.3636,0.0736,,,3.640739,0.61707,,3.51,1.88e-31,865.1275234,1.341405814,0.0,"[1] Chaieb, M., Habli, H., Mejrissi, L., Oujia, B. and GadÃ©a, F., 2014. <i>Ab initio</i> spectroscopic study for the NaRb molecule in ground and excited states. International Journal of Quantum Chemistry, 114(11), pp.731-747. [2] Docenko, O., Tamanis, M., Ferber, R., Pashov, A., KnÃ¶ckel, H. and Tiemann, E., 2004. Potential of the ground state of NaRb. Physical Review A, 69(4). [3] Takahashi, N. and KatÃ´, H., 1981. Laserâ€induced fluorescence of the NaRb molecule. The Journal of Chemical Physics, 75(9), pp.4350-4356.",[1] 2014 [2] 2004 [3] 1981,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Na,Rb,"Na
Rb 1 NaRb2
NaRb2= 3.08",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Na\nRb 1 NaRb2\nNaRb2= {0},11.0,37.0,12.0,48.0,8.0,2.0,2.0,0,15.0,1,0.5,1.875,1.0,1.0,0.27466951077789425,6.879999105932756,0.1453488560976237,47.33438769763552,0.02112628996888773,271.61147782161913,0.0036817295352177645,4130870.1935115126,104636.16436985982,0.000492016,2.4207974425599996e-07,9.556925237294413e-06,0.00017299804478702955,0.013152872111711175,0.019424013116025523,6.575163708805176e-05,1.0,1.0,-15.574278927085292,1.2921866830204984,3.21,4.2546271105703255
21,NaK,23.0,39.0,14.46774194,X $^1 \Sigma^{+}$,0,124.0,0.5,0.095,0.00048,,3.498,0.63312,4.416,2.73,1.3e-08,823.9078578,1.762612096,0.0,"[1] Leutwyler, S., Hofmann, M., Harri, H. and Schumacher, E., 1981. The adiabatic ionization potentials of the alkali dimers Na2, NaK and K2. Chemical Physics Letters, 77(2), pp.257-260. 
[2] MÃ¼ller, W. and Meyer, W., 1984. Groundâ€state properties of alkali dimers and their cations (including the elements Li, Na, and K) from ab initio calculations with effective core polarization potentials. The Journal of Chemical Physics, 80(7), pp.3311-3320.
[5] Wormsbecher, R., Hessel, M. and Lovas, F., 1981. Microwave optical double resonance of Xâ€‰1Î£+ of NaK. The Journal of Chemical Physics, 74(12), pp.6983-6985.",[1] 1981 [2] 1984 [5] 1981,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Na,K,"Na
K 1 NaK2
NaK2= 3.498",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Na\nK 1 NaK2\nNaK2= {0},11.0,19.0,12.0,20.0,7.0,2.0,1.0,0,12.0,1,0.5,1.7142857142857142,1.0,1.0,0.2858776443682104,6.610261508048993,0.15127994539737177,43.69555720479414,0.022885621879431786,260.96266428876766,0.0038319657822524843,3073554.8391030924,77854.05357189011,0.0005704,3.2535616e-07,1.2844546354630133e-05,0.00018583158199515648,0.013632005795008909,0.02251848940152548,8.490581035636257e-05,1.0,1.0,-14.762136566356311,1.2521913765964103,3.21,3.8036485037395344
22,LiCs,7.0,133.0,6.65,X $^1 \Sigma$,0,186.84,0.63,0.1962,,,3.6681,0.717051546,,6.05,9.55e-07,929.6137986,3.428509501,0.0,"[1] Mabrouk, N., Berriche, H., Ouada, H. and Gadea, F., 2010. Theoretical Study of the LiCs Molecule: Adiabatic and Diabatic Potential Energy and Dipole Moment. The Journal of Physical Chemistry A, 114(24), pp.6657-6668. [2] Staanum, P., Pashov, A., KnÃ¶ckel, H. and Tiemann, E., 2007. X 1 Î£ + and a 3 Î£ + states of LiCs studied by Fourier-transform spectroscopy. Physical Review A, 75(4).",[1] 2010 [2]2007,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Li,Cs,"Li
Cs 1 LiCs2
LiCs2= 3.6681",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Li\nCs 1 LiCs2\nLiCs2= {0},3.0,55.0,4.0,78.0,8.0,2.0,4.0,0,12.0,1,0.5,1.5,1.0,1.0,0.27262070281617184,6.931703898706263,0.14426467353671016,48.04851893933961,0.020812296030653557,273.65270122287836,0.0036542668701287292,1353769.1697410767,34291.373664167695,0.000859464,7.38678367296e-07,2.916185305941641e-05,0.00019392632284511915,0.013925743170298637,0.03393027870791145,0.0002021413305454559,1.0,1.0,-14.543707357419354,1.299673816836117,3.21,2.5787593916455256
23,Na2,23.0,23.0,11.5,X $^1 \Sigma^{+}_{g}$,0,159.1245,0.72547,0.154707,0.0008736,5.811,3.07887,0.72,4.9,0.0,0.000766883,681.1721914,5.074094157,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",6/1/1977 0:00,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Na,Na,"Na
Na 1 NaNa2
NaNa2= 3.07887",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Na\nNa 1 NaNa2\nNaNa2= {0},11.0,11.0,12.0,12.0,6.0,2.0,0.0,0,9.0,1,0.5,1.5,1.0,1.0,0.32479448628880075,5.818220654455918,0.1718738527446779,33.85169158393745,0.029540621257299227,229.69414471090855,0.004353615549314908,1866423.6658621323,47277.06375080559,0.0007319727,5.357840335452901e-07,2.1151905822048013e-05,0.00024324691695355215,0.015596375122237608,0.028897123925589043,0.00012306645533494614,1.0,1.0,-13.704115435477593,1.1245626465505236,2.906272,3.391164991562634
