,Molecule,D0 (eV),pred,std
42,H2,4.47813,4.423469884969268,0.31177249221876274
43,H2,4.47813,4.499440499449589,0.3272773294511058
44,H2,4.47813,4.436914047180406,0.32287551270425957
45,H2,4.47813,4.4615267986431695,0.12551431045511036
46,H2,4.47813,4.460011345139581,0.1229432235164975
47,H2,4.47813,4.489445090259354,0.37625188197517745
48,H2,4.47813,4.499633610656751,0.35504007627375095
49,H2,4.47813,4.49498326107253,0.34914151371015495
50,H2,4.47813,4.46116870805258,0.12463688898118643
51,H2,4.47813,4.466439875976082,0.4034545944991659
52,H2,4.47813,4.449827395458032,0.3965087172463025
53,HF,5.869,5.863704649386371,0.4658845148884371
54,HF,5.869,5.745943882950469,0.6897175471438753
55,HF,5.869,5.642214105528649,0.6582867026586814
56,HF,5.869,5.4990909530579675,0.5834283557911355
57,HF,5.869,5.857723582280571,0.4196446432092977
58,HF,5.869,5.665074297593054,0.6485651187691154
59,HF,5.869,5.854090032954546,0.46444581242367783
60,HF,5.869,5.8331482849055085,0.4362745160002544
61,HF,5.869,5.635835244040882,0.7129836064842202
62,HF,5.869,5.713421565073881,0.6914560106229669
63,HF,5.869,5.8281903053130115,0.4636146172162
64,HF,5.869,5.693581770739712,0.6839061377872994
65,HF,5.869,5.676531662584058,0.6747042572468032
66,HF,5.869,5.821656636256391,0.4151525558481249
67,HF,5.869,5.387819424297045,0.7949534564646002
68,HF,5.869,5.860321215577722,0.47148721939876487
69,HF,5.869,5.700666447611485,0.6526989657853451
70,HF,5.869,5.431993490643302,0.8162230431742323
71,HF,5.869,5.831736159910651,0.4634395341988653
72,HF,5.869,5.667547518261312,0.7162006572420184
73,HF,5.869,5.6394883171800645,0.6287063969622524
74,HF,5.869,5.83795435654354,0.4262653807431426
75,HF,5.869,5.688868383917951,0.726961962460649
76,HF,5.869,5.660165674753291,0.6889095840222728
77,HF,5.869,5.632070001115803,0.6330028115401457
78,HF,5.869,5.673555823152164,0.6726805171902295
79,HF,5.869,5.688675935964572,0.717785518863407
80,HF,5.869,5.6510170057419264,0.6970293228782984
81,HF,5.869,5.661605228307143,0.6739358298306194
82,HF,5.869,5.846335752056614,0.4197827187193446
83,HF,5.869,5.6028248698454535,0.7001263255598107
84,HF,5.869,5.823096794450404,0.4536906414768865
85,HF,5.869,5.7327737386257285,0.6116950043415874
86,HF,5.869,5.870050184177857,0.4247723293974018
87,HF,5.869,5.843180306092262,0.4445133553826112
88,HF,5.869,5.601231647793984,0.6792406188370552
89,HF,5.869,5.8446964974603155,0.460617315706405
90,HF,5.869,5.667502707055097,0.6496856912757937
91,HF,5.869,5.623232775697341,0.6769347836861583
92,HF,5.869,5.528657266391075,0.6611486280543815
93,HF,5.869,5.659524729356476,0.6901023388754388
94,HF,5.869,5.696183485876014,0.6645245650171979
95,HF,5.869,5.682405009693615,0.6642319536729897
96,HF,5.869,5.69940761898764,0.7082632026041915
97,HF,5.869,5.680327322641935,0.6665751851653963
98,HF,5.869,5.845450310138634,0.45652107697514227
99,HF,5.869,5.659238501250455,0.6840646895314652
100,HF,5.869,5.647015715322058,0.651664615045701
101,HF,5.869,5.575456148715371,0.6792768196800748
102,HF,5.869,5.847518499753391,0.44665311353119586
103,HF,5.869,5.836316047832274,0.4187698986517408
104,HF,5.869,5.8477381590850905,0.4381240036878926
105,HF,5.869,5.662448274568678,0.6269184318483023
106,HF,5.869,5.841210893176251,0.4485878097201409
107,HF,5.869,5.664598243521465,0.6920503634545203
108,HF,5.869,5.6462869474582735,0.66832924868051
109,HF,5.869,5.6167562068324015,0.6718343943103351
110,HF,5.869,5.450084164115761,0.8640740800968851
111,HF,5.869,5.706222019006567,0.7203005427356414
112,HF,5.869,5.682991038114374,0.701741986975295
113,HF,5.869,5.673203865388148,0.6589267385457801
114,HF,5.869,5.746156354568177,0.6685911028541058
115,HF,5.869,5.687050537873863,0.6927087609647941
116,HF,5.869,5.822940803436093,0.39729021063593384
117,HF,5.869,5.8702133565811705,0.41158218234933047
118,HF,5.869,5.713965915679835,0.7006691591057527
119,HF,5.869,5.698454190232467,0.6782301956021543
120,HF,5.869,5.67425661006872,0.7016802339241693
121,HF,5.869,5.672908032597512,0.6380528277798488
122,HF,5.869,5.839902088203314,0.41592617628225437
123,HF,5.869,5.699546039218198,0.6616326079987902
124,HF,5.869,5.6735024717657385,0.6965545706304411
125,HF,5.869,5.514637069002851,0.9184409917950825
126,HF,5.869,5.6798482617260015,0.7057031707104929
127,HF,5.869,5.6503734370570395,0.7016053986829209
128,HF,5.869,5.666699614726195,0.6311987852079346
129,HF,5.869,5.683426597388211,0.6614909653153268
130,HF,5.869,5.681314228753442,0.6501988854976264
131,HF,5.869,5.672300890450285,0.6865090772437216
132,HF,5.869,5.651067135002861,0.6526835081531953
133,HF,5.869,5.697726893475559,0.646848653742564
134,HF,5.869,5.628450780038425,0.7052881207721093
135,HF,5.869,5.640236386204339,0.6802308434718326
136,HF,5.869,5.695845798102982,0.6828705822744184
137,HF,5.869,5.488671406693638,0.8459640126490972
138,HF,5.869,5.890447566431541,0.3847411909127799
139,HF,5.869,5.824179080643226,0.4455022111062946
140,OH,4.392,4.341718282695495,0.33585381848683477
141,OH,4.392,4.326930927064311,0.31672473917855337
142,OH,4.392,4.352834651152555,0.47792423336408857
143,OH,4.392,4.343046032412868,0.4679213999283181
144,OH,4.392,4.397408360031822,0.6938867856927734
145,OH,4.392,4.39584601542631,0.42969772932247996
146,OH,4.392,4.3380109351100895,0.43219701029666946
147,OH,4.392,4.343618515700418,0.4584431078219158
148,OH,4.392,4.299743622652492,0.481828225653079
149,OH,4.392,4.3611470898605695,0.6702399736927329
150,OH,4.392,4.340877488726382,0.34837835526196115
151,OH,4.392,4.413790398677567,0.5096632295366887
152,OH,4.392,4.329865403916128,0.4240645415029864
153,OH,4.392,4.34314893578808,0.4190222899231654
154,OH,4.392,4.35650071319187,0.4531309195310254
155,OH,4.392,4.2847772969802005,0.6550381828717596
156,OH,4.392,4.3595554027415435,0.47735177349739766
157,OH,4.392,4.344605025944381,0.4711158142137077
158,OH,4.392,4.348441249428863,0.46815230260673596
159,OH,4.392,4.339830704090912,0.3563328032394409
160,OH,4.392,4.375808344331453,0.5017942110340677
161,OH,4.392,4.3546998300692215,0.4646163008872385
162,OH,4.392,4.318339257542473,0.44039335155779413
163,OH,4.392,4.401127654124132,0.33481130273829324
164,OH,4.392,4.3563966288373654,0.47458196464946417
165,OH,4.392,4.32075208394794,0.49049494947933825
166,OH,4.392,4.322557768123724,0.3559464260782591
167,OH,4.392,4.308296769756566,0.4622593007157299
168,OH,4.392,4.37350341252207,0.3911399676684152
169,OH,4.392,4.218809629529532,0.6693857335070118
170,OH,4.392,4.362862202291455,0.4683338948978343
171,OH,4.392,4.4242922148587605,0.5121823405935824
172,OH,4.392,4.376107623957205,0.4678478413674188
173,OH,4.392,4.340949658054483,0.3311232990115116
174,OH,4.392,4.301473947316177,0.6421687458914043
175,OH,4.392,4.271423474382792,0.45482319155906054
176,OH,4.392,4.341043732336002,0.4681617909938569
177,OH,4.392,4.344807527865305,0.3619766907114089
178,OH,4.392,4.330904183737524,0.467973339983908
179,OH,4.392,4.340745834774963,0.3387292407606412
180,OH,4.392,4.35301593205872,0.47369455953222167
181,OH,4.392,4.366923942688044,0.45611907705316873
182,OH,4.392,4.34033615614988,0.4379594298077282
183,OH,4.392,4.339931622753507,0.4430106395433026
184,OH,4.392,4.314133939453811,0.4633343677150603
185,OH,4.392,4.352265664433716,0.3651204123730658
186,OH,4.392,4.408923416244034,0.41826453160546895
187,OH,4.392,4.340559734261066,0.3396677652149212
188,OH,4.392,4.334803656406631,0.31244378583216315
189,OH,4.392,4.358525235002071,0.38646274267823666
190,OH,4.392,4.349206254013469,0.4528771094018469
191,OH,4.392,4.326022396307491,0.34878811424536854
192,OH,4.392,4.343185713312086,0.4256538717752014
193,OH,4.392,4.350306538497567,0.4866393714265684
194,OH,4.392,4.343606132519833,0.41566837747625024
195,OH,4.392,4.340945369801071,0.44704066826584965
196,OH,4.392,4.346827833418642,0.48066354227127633
197,OH,4.392,4.352303003066801,0.4684602417756562
198,OH,4.392,4.344073736217238,0.4668505659844718
199,OH,4.392,4.3478941009488725,0.4509619157101895
200,OH,4.392,4.342855042058091,0.49037391192076263
201,OH,4.392,4.344207669821403,0.45380838389415684
202,OH,4.392,4.340272806189041,0.3157471592291808
203,OH,4.392,4.352031120692368,0.3753396936350095
204,OH,4.392,4.350867510421066,0.487347783582637
205,OH,4.392,4.34971593677168,0.4557619725173041
206,OH,4.392,4.31261739235506,0.43192909754550696
207,OH,4.392,4.344891363790501,0.44881324412625695
208,OH,4.392,4.328995829484779,0.45920798868470614
209,OH,4.392,4.420338030237475,0.4414820085653783
210,OH,4.392,4.291664542136985,0.6294118691017111
211,OH,4.392,4.338048778451442,0.4770985807102052
212,OH,4.392,4.342223608380638,0.45583687452393423
213,OH,4.392,4.363539744037419,0.35719320719538206
214,OH,4.392,4.354707603853956,0.48721331417008074
215,OH,4.392,4.238834610813383,0.5978133963502215
216,OH,4.392,4.316317773877705,0.5003264324234767
217,OH,4.392,4.36114794231881,0.4968775290321307
218,OH,4.392,4.297388087434377,0.47680496094913527
219,OH,4.392,4.345600032079255,0.37547958189495
220,OH,4.392,4.302145646080036,0.6566162741292282
221,OH,4.392,4.348000220029163,0.475064487445199
222,OH,4.392,4.37287090816894,0.3424374699130572
223,HT,4.52694,4.529305610885789,0.05434119922796775
224,HT,4.52694,4.562773426090863,0.28438552219594104
225,HT,4.52694,4.54344251225371,0.2847365345898176
226,HT,4.52694,4.555673872228853,0.2847877207209566
227,HT,4.52694,4.548845307627154,0.29866295799181986
228,HT,4.52694,4.526296395281766,0.04443555008751621
229,HT,4.52694,4.560760369350443,0.3206412562149343
230,HT,4.52694,4.557174025577187,0.3647544780710924
231,HT,4.52694,4.52565344247036,0.050276604347133415
232,HT,4.52694,4.566708318187113,0.3504849160039633
233,HT,4.52694,4.530332249804974,0.04980180996367654
234,HT,4.52694,4.547742243396319,0.286999762865047
235,HT,4.52694,4.54686931533267,0.3254621740769616
236,HT,4.52694,4.531135865058949,0.05260557397591066
237,HT,4.52694,4.569451186701329,0.342169237908023
238,HT,4.52694,4.560078624419969,0.326233403141804
239,HT,4.52694,4.560825509671665,0.2999720707961971
240,HT,4.52694,4.549994771256681,0.3085898604206554
241,HT,4.52694,4.530108500561,0.047696584101009507
242,HT,4.52694,4.564144089366365,0.2804794145467978
243,HT,4.52694,4.55929782712284,0.323650917349257
244,HT,4.52694,4.5266436056877275,0.040890725965177656
245,HT,4.52694,4.549997089875688,0.35637779223783844
246,HT,4.52694,4.548692273020886,0.329401984068529
247,HT,4.52694,4.545322468795061,0.30161130813312353
248,HT,4.52694,4.53015141351128,0.048083923742494324
249,HT,4.52694,4.528268167335604,0.046214192580424716
250,HT,4.52694,4.541100063549241,0.2684826549348121
251,HT,4.52694,4.531118476012771,0.30532618979730486
252,HT,4.52694,4.544479360127705,0.3221165048736396
253,HT,4.52694,4.531293978789382,0.055628556845485205
254,HT,4.52694,4.529990312444577,0.04321959930763585
255,HT,4.52694,4.528341305958199,0.05375697006628969
256,HT,4.52694,4.544145052732494,0.2951969241745172
257,HT,4.52694,4.549058833470504,0.337175782270704
258,HT,4.52694,4.545168345809622,0.31044649458038953
259,HT,4.52694,4.5490891802752085,0.3002759094846735
260,HT,4.52694,4.547116238043818,0.26594472332874036
261,HT,4.52694,4.554888671139135,0.3071864741449534
262,HT,4.52694,4.530453416370454,0.05290943701642324
263,HT,4.52694,4.527841153750247,0.0496786262533713
264,HT,4.52694,4.539313738307455,0.3013349200046106
265,HT,4.52694,4.530198694723982,0.05530418293632587
266,HT,4.52694,4.5626927897652285,0.36070461121831227
267,HT,4.52694,4.545452145370791,0.2737146432863281
268,HT,4.52694,4.551209644802757,0.3205206185005577
269,HT,4.52694,4.530814708137144,0.05185960269466931
270,HT,4.52694,4.535331337110336,0.31734054766003816
271,HT,4.52694,4.579241578957808,0.2681012226557107
272,HT,4.52694,4.545122856163276,0.29362837318776763
273,HT,4.52694,4.53030570242858,0.054669304471284964
274,HT,4.52694,4.549966520606253,0.3059423427952652
275,HT,4.52694,4.549633313668806,0.3134090871781118
276,HT,4.52694,4.558071490787955,0.2914354462518981
277,HT,4.52694,4.541471859920956,0.26668863021079964
278,HT,4.52694,4.529815555833946,0.0484001198360663
279,HT,4.52694,4.545532528387003,0.3006841672447674
280,HT,4.52694,4.553749786964901,0.30858024345140445
281,HT,4.52694,4.542900575631973,0.29159898971459736
282,HT,4.52694,4.533227943047665,0.05035654671842962
283,HT,4.52694,4.52903508892256,0.047334815213973425
284,HT,4.52694,4.551342741289468,0.3094143829256262
285,HT,4.52694,4.532196929457469,0.05580419285297198
286,HT,4.52694,4.551015419955845,0.3359757575648123
287,HT,4.52694,4.528631356587122,0.05467639029469764
288,HT,4.52694,4.549283320884053,0.3093044209189346
289,HT,4.52694,4.5308469632431185,0.050693195231690226
290,HT,4.52694,4.529318280641917,0.04878627068917147
291,HT,4.52694,4.541194351137379,0.2956879098131369
292,HT,4.52694,4.552852237168444,0.3134075658739132
293,HT,4.52694,4.529965014726376,0.04749130158883745
294,HT,4.52694,4.546462436416368,0.3060322521062242
295,HT,4.52694,4.559571205311957,0.30219372778153925
296,HT,4.52694,4.527165332892941,0.04825733846030805
297,HT,4.52694,4.54235113772998,0.2863410851157683
298,HT,4.52694,4.529590446174125,0.04923401733363865
299,HT,4.52694,4.546818906737023,0.3473496615798688
300,HT,4.52694,4.547381130751871,0.29209805694488006
301,HT,4.52694,4.581564552397891,0.29252835358857515
302,HT,4.52694,4.553697525024417,0.2782941209518263
303,HT,4.52694,4.556460123815677,0.3007747358834395
304,HT,4.52694,4.559412567387754,0.31294167093919223
305,HT,4.52694,4.527234787965058,0.30964560297956795
306,HT,4.52694,4.546367520266111,0.2844759997595547
307,HT,4.52694,4.555129221942988,0.34005445836975373
308,HT,4.52694,4.549514117472392,0.30552544134117143
309,HT,4.52694,4.550351474000186,0.3208652804400148
310,HT,4.52694,4.546960328830863,0.30971942345987746
311,HT,4.52694,4.5283229515350225,0.050134434979381776
312,HT,4.52694,4.55270051778577,0.3423901393137996
313,HT,4.52694,4.546099480361333,0.2889656114631605
314,HT,4.52694,4.557904134271329,0.31093328562389355
315,NH,3.47,3.521932950183555,0.3361377174009763
316,NH,3.47,3.5192463894515362,0.35887731137349776
317,NH,3.47,3.522409944399609,0.2564646759431629
318,NH,3.47,3.5358226925992438,0.42274276750185275
319,NH,3.47,3.524875195784911,0.38606686481386204
320,NH,3.47,3.5374671563712234,0.2813527169459635
321,NH,3.47,3.527126296065674,0.372247058773289
322,NH,3.47,3.5265024550631905,0.3005422913282178
323,NH,3.47,3.535458847455002,0.3724452192363272
324,NH,3.47,3.536272372394299,0.27174500241683935
325,NH,3.47,3.5498542791234424,0.39392746180481636
326,NH,3.47,3.5297130888589745,0.3642157401610532
327,NH,3.47,3.521997781608788,0.32477429593109897
328,NH,3.47,3.5263534130673975,0.3452412733760714
329,NH,3.47,3.537896341859266,0.3612036210820132
330,NH,3.47,3.516217705518347,0.391359500846283
331,NH,3.47,3.5203898709187107,0.26671340270518507
332,NH,3.47,3.538986228757981,0.2816650697113745
333,NH,3.47,3.5277947132935186,0.37767883119191403
334,NH,3.47,3.553991130836573,0.35523006149790104
335,NH,3.47,3.5328277858669117,0.3759130381575233
336,NH,3.47,3.5358687060390075,0.2819758948191907
337,NH,3.47,3.5289144460025508,0.3500682741340408
338,NH,3.47,3.5180362952099125,0.3855605645023018
339,NH,3.47,3.5210827968374603,0.36252224810757333
340,NH,3.47,3.5418458641903228,0.39232633601936023
341,NH,3.47,3.536289265810813,0.3828584842392548
342,NH,3.47,3.5257109312090757,0.27297836616960175
343,NH,3.47,3.52449833045528,0.29851390254486276
344,NH,3.47,3.5277619635162085,0.28777922741801953
345,NH,3.47,3.536313974349777,0.385461604620317
346,NH,3.47,3.526250098111226,0.3111309928232898
347,NH,3.47,3.534601140555715,0.3240446119937223
348,NH,3.47,3.5370085306480807,0.35127164377522835
349,NH,3.47,3.5307564639453677,0.3615551906193637
350,NH,3.47,3.5403048307526594,0.37864828363049813
351,NH,3.47,3.5145559564929196,0.35183985729544387
352,NH,3.47,3.537890810693161,0.3985167462334992
353,NH,3.47,3.5274118469672313,0.3760673060270353
354,NH,3.47,3.5317108369861026,0.2794486450361938
355,NH,3.47,3.531085277988559,0.38021694641647213
356,NH,3.47,3.525194271535241,0.5306188647186214
357,NH,3.47,3.5199579949752664,0.3348590993808024
358,NH,3.47,3.5372926662460316,0.39153912784760236
359,NH,3.47,3.5139370533375396,0.35579070330906554
360,NH,3.47,3.530037540960441,0.36916029393318095
361,NH,3.47,3.5485887730100094,0.37062296230569647
362,NH,3.47,3.5148789214430547,0.35812897163287843
363,NH,3.47,3.518853090474093,0.3640540036632365
364,NH,3.47,3.538626735583106,0.37680674433134553
365,NH,3.47,3.5229001626938494,0.3781300098842904
366,NH,3.47,3.524236066297859,0.368742695445256
367,NH,3.47,3.5398355055527877,0.37105908555142897
368,NH,3.47,3.5200008267606138,0.3685780306351507
369,NH,3.47,3.528609410180668,0.24047128884168034
370,NH,3.47,3.514391078902688,0.33516211995519574
371,NH,3.47,3.5205284659133587,0.38541178110222063
372,NH,3.47,3.508848781304933,0.2989211843742491
373,NH,3.47,3.5244580367608873,0.3418804155774495
374,NH,3.47,3.5159396514423964,0.3299364303415185
375,NH,3.47,3.5407219655528777,0.37976368341269856
376,NH,3.47,3.5040313238500884,0.4014551658169136
377,NH,3.47,3.522469055879883,0.37015294813909505
378,NH,3.47,3.5350616450555346,0.5314726739145702
379,NH,3.47,3.5355824343335356,0.3977209590659311
380,NH,3.47,3.531354525098943,0.3595027695498231
381,NH,3.47,3.5338257186812294,0.2721017560040234
382,NH,3.47,3.511223565063292,0.4763834668591554
383,NH,3.47,3.532669425874073,0.2613880734017211
384,NH,3.47,3.549471384074069,0.30354557532337667
385,NH,3.47,3.5000883799047386,0.372038656277991
386,NH,3.47,3.5103423935901703,0.2812415221036555
387,NH,3.47,3.518868930940906,0.376503556052793
388,NH,3.47,3.5407170889080515,0.3578110669273561
389,NH,3.47,3.5197518029123436,0.36989042813838524
390,NH,3.47,3.5298695237907447,0.3703623615274623
391,NH,3.47,3.5259344171271145,0.2848609519391093
392,NH,3.47,3.5046096767866333,0.3841696096465263
393,NH,3.47,3.5405206731613044,0.2628456202963327
394,NH,3.47,3.5283329552317926,0.3541722346012467
395,NH,3.47,3.5310689703777896,0.38520142832522947
396,NH,3.47,3.5355448192549708,0.357409280806923
397,NH,3.47,3.5381779531316426,0.2562687161050255
398,NH,3.47,3.514723681274906,0.3736121242038042
399,NH,3.47,3.517746516897323,0.3281427455993329
400,NH,3.47,3.5528524350757733,0.39976901281954047
401,NH,3.47,3.5048800725074383,0.4014149010338
402,NH,3.47,3.5307844120943983,0.35810280070252914
403,NH,3.47,3.537457680068987,0.26965010923156735
404,NH,3.47,3.5262559883860582,0.399633239504001
405,NH,3.47,3.53695030247758,0.37672447337835185
406,NH,3.47,3.5245218982105424,0.36890835318835496
407,NH,3.47,3.5055207425352792,0.29920427741066263
408,NH,3.47,3.512446751323885,0.31074627118593146
409,NH,3.47,3.533771466719941,0.38359940279117516
410,NH,3.47,3.529270198651716,0.3658517533033082
411,NH,3.47,3.528885579016607,0.36452928588779826
412,D2,4.5532,4.5871797588406595,0.27678581082353665
413,D2,4.5532,4.586903383460408,0.29084941068301395
414,D2,4.5532,4.556017721022977,0.05555634083903225
415,D2,4.5532,4.555899150141249,0.05750998560818411
416,D2,4.5532,4.590916626351884,0.2872004731826768
417,D2,4.5532,4.595417691448611,0.3168036325092633
418,D2,4.5532,4.584175883606513,0.32280868625264236
419,D2,4.5532,4.5856005975250005,0.2852495895047126
420,D2,4.5532,4.55429810926401,0.06279687578051593
421,D2,4.5532,4.57653528897563,0.2992768698367078
422,D2,4.5532,4.593708624899991,0.29192633510914207
423,D2,4.5532,4.583729140428909,0.2854397265160875
424,D2,4.5532,4.58999935556959,0.29986181965372477
425,D2,4.5532,4.574880024623567,0.26777007893908106
426,D2,4.5532,4.594497628390742,0.318686719199547
427,D2,4.5532,4.558028294516894,0.056345230271682076
428,D2,4.5532,4.5765695100783,0.28546809368200987
429,D2,4.5532,4.591923315182764,0.2971600651119447
430,D2,4.5532,4.585761120729476,0.312284366296719
431,D2,4.5532,4.578650224964774,0.29252837375507235
432,D2,4.5532,4.58843995930155,0.3114860606179523
433,D2,4.5532,4.588613324213242,0.2886243930935977
434,D2,4.5532,4.585000349006121,0.27938054228010817
435,D2,4.5532,4.583629564970643,0.2571136455624531
436,D2,4.5532,4.555882672111419,0.059947499658462765
437,D2,4.5532,4.590711802739333,0.3197945391255226
438,D2,4.5532,4.574798588703917,0.3290980474877165
439,D2,4.5532,4.58092315100085,0.2668666125331302
440,D2,4.5532,4.55941560868418,0.052875937775355125
441,D2,4.5532,4.576638634743572,0.27682938869446044
442,D2,4.5532,4.589830578530627,0.2626361575965739
443,D2,4.5532,4.581375203760505,0.3027120848777165
444,D2,4.5532,4.583345208560122,0.2723298424641355
445,D2,4.5532,4.556047120660877,0.054515172029430306
446,D2,4.5532,4.5863989124492175,0.2847295215765076
447,D2,4.5532,4.59098422682355,0.27274624298093775
448,D2,4.5532,4.5817168404823665,0.2720285176718414
449,D2,4.5532,4.579272218129531,0.28961679962008235
450,D2,4.5532,4.555812864329246,0.05871723151743155
451,D2,4.5532,4.5907827249514845,0.3049479359065736
452,D2,4.5532,4.58375485910609,0.27496578606082844
453,D2,4.5532,4.588049132114495,0.282288365993842
454,D2,4.5532,4.5814874645550825,0.2638614829972993
455,DF,5.938,5.8868237372504035,0.2167312658905686
456,DF,5.938,5.952402061362817,0.43311085737430915
457,DF,5.938,5.948866112743394,0.42358583514022796
458,DF,5.938,5.882408089851083,0.23845641574431706
459,DF,5.938,5.95043008010234,0.4718566771633518
460,DF,5.938,5.944961679323465,0.4442967213744705
461,DF,5.938,5.996262971279073,0.5667590511677816
462,DF,5.938,5.977101498608313,0.5372818690217415
463,DF,5.938,5.878236403822965,0.21449343751562455
464,DF,5.938,5.944253806256112,0.4442315634901663
465,DF,5.938,5.668551512904071,0.4158645182408318
466,DF,5.938,5.673760721219617,0.42488018959457247
467,DF,5.938,5.893407403386865,0.23297932492530946
468,DF,5.938,5.887711606393212,0.19407933744679506
469,DF,5.938,5.957485222412497,0.45036903031072817
470,DF,5.938,5.940149525421945,0.41578521534515417
471,DF,5.938,5.88621140977994,0.19857380384233697
472,DF,5.938,5.95275979801527,0.4338332955679384
473,DF,5.938,5.944912696461334,0.4555400865273955
474,DF,5.938,5.953059547103358,0.4646559469657489
475,DF,5.938,5.940907574517134,0.44788161930338616
476,DF,5.938,5.939418855652887,0.4541821157213531
477,DF,5.938,5.950393321142951,0.4725689193439549
478,DF,5.938,5.956959945732885,0.4692520817882217
479,DF,5.938,5.9452862220713145,0.4569856446027896
480,DF,5.938,5.956614971263874,0.48490804613906136
481,DF,5.938,5.885457007458752,0.22372850482907014
482,DF,5.938,5.949540521666489,0.46029541428812737
483,DF,5.938,5.9474325253111635,0.4235227964499645
484,DF,5.938,5.943780657673392,0.4467379237312076
485,DF,5.938,5.952332778659287,0.4421711716860766
486,DF,5.938,5.884034678776143,0.2188384912685288
487,DF,5.938,5.884970324060872,0.22362430553599363
488,DF,5.938,5.951489043054887,0.4383822736841951
489,DF,5.938,5.944289696449405,0.44154238201086377
490,DF,5.938,5.94965693226445,0.40267851594244236
491,DF,5.938,5.878603664042656,0.2334557313317154
492,DF,5.938,5.941453964762928,0.4234523498714714
493,DF,5.938,5.966740343934124,0.4367933559218512
494,DF,5.938,5.892949569150379,0.21483821029004152
495,DF,5.938,5.951364415524464,0.42704812367986356
496,DF,5.938,5.942464406303736,0.3935277570544414
497,DF,5.938,5.961782148916937,0.4719519153517789
498,DF,5.938,5.984019915919052,0.5199661273862871
499,DF,5.938,5.961627813263446,0.47773957904117664
500,DF,5.938,5.9429895827420784,0.4370496585796236
501,DF,5.938,5.891009284072632,0.2131005296193649
502,DF,5.938,5.888706457592361,0.23263073049551292
503,DF,5.938,5.95865519228844,0.4396230825048196
504,DF,5.938,5.935980630626999,0.4319219136491079
505,DF,5.938,5.9464778410352865,0.41783816324322287
506,DF,5.938,5.944981975416861,0.44650100049934865
507,DF,5.938,5.760895595374213,0.586618057821818
508,DF,5.938,5.970141150122375,0.48502166425189347
509,DF,5.938,5.940535593950742,0.44497061529097326
510,DF,5.938,5.957915768761864,0.40539301461767496
511,DF,5.938,5.960489816528519,0.48789714204329965
512,DF,5.938,5.888614014806516,0.23786184112229125
513,DF,5.938,5.887469833342903,0.21964688556324052
514,DF,5.938,5.95147642933915,0.4668249182836556
515,DF,5.938,5.94348826210775,0.4246678724278009
516,DF,5.938,5.972030108742769,0.4869912271538006
517,DF,5.938,5.899305988341544,0.22816700577600152
518,DF,5.938,5.945850132061305,0.4011961155732637
519,DF,5.938,5.945905825844855,0.46264652567945075
520,DF,5.938,5.9491144841254,0.46131332968609645
521,DF,5.938,5.943319024675734,0.41621396949924916
522,DF,5.938,5.881990815412921,0.23703548055705
523,DF,5.938,5.957549547666806,0.46086194088980986
524,DF,5.938,5.886267983738021,0.22670016995192632
525,DF,5.938,5.952944769184886,0.43391900625488283
526,DF,5.938,5.77610374622823,0.6155422393669086
